time from scenario start,umv response duration ms
00:03:32.90,1741
00:03:32.95,1728
00:03:33.03,1502
00:03:33.15,1662
00:03:33.20,1688
00:03:33.32,1501
00:03:33.37,1502
00:03:33.38,1502
00:03:33.40,1636
00:03:33.45,1502
00:03:33.46,1655
00:03:33.60,1501
00:03:33.64,1501
00:03:33.66,1738
00:03:33.71,1703
00:03:33.85,1502
00:03:33.88,1501
00:03:33.91,1732
00:03:33.96,1676
00:03:34.07,1501
00:03:34.12,1501
00:03:34.16,1740
00:03:34.21,1705
00:03:34.29,1501
00:03:34.33,1501
00:03:34.33,1502
00:03:34.39,1507
00:03:34.40,1501
00:03:34.42,1698
00:03:34.47,1703
00:03:34.57,1501
00:03:34.62,1502
00:03:34.63,1501
00:03:34.67,1717
00:03:34.72,1746
00:03:34.78,1501
00:03:34.87,1502
00:03:34.88,1501
00:03:34.92,1679
00:03:34.97,1705
00:03:35.18,1671
00:03:35.23,1552
00:03:35.31,1502
00:03:35.33,1502
00:03:35.38,1501
00:03:35.43,1725
00:03:35.48,1691
00:03:35.55,1501
00:03:35.56,1501
00:03:35.57,1501
00:03:35.60,1502
00:03:35.68,1706
00:03:35.73,1708
00:03:35.94,1698
00:03:35.99,1509
00:03:36.11,1501
00:03:36.16,1501
00:03:36.17,1502
00:03:36.19,1501
00:03:36.19,1676
00:03:36.24,1687
00:03:36.27,1502
00:03:36.33,1501
00:03:36.34,1502
00:03:36.40,1502
00:03:36.42,1501
00:03:36.44,1728
00:03:36.49,1730
00:03:36.54,1501
00:03:36.61,1501
00:03:36.65,1501
00:03:36.67,1501
00:03:36.70,1721
00:03:36.75,1712
00:03:36.95,1522
00:03:37.00,1541
00:03:37.13,1501
00:03:37.13,1502
00:03:37.15,1502
00:03:37.20,1642
00:03:37.25,1637
00:03:37.31,1501
00:03:37.34,1502
00:03:37.36,1502
00:03:37.46,1721
00:03:37.51,1737
00:03:37.59,1501
00:03:37.71,1738
00:03:37.76,1714
00:03:37.80,1502
00:03:37.82,1502
00:03:37.87,1501
00:03:37.94,1501
00:03:37.96,1747
00:03:38.01,1728
00:03:38.11,1501
00:03:38.12,1501
00:03:38.13,1502
00:03:38.15,1501
00:03:38.15,1501
00:03:38.22,1708
00:03:38.27,1691
00:03:38.41,1502
00:03:38.42,1501
00:03:38.47,1713
00:03:38.52,1630
00:03:38.69,1501
00:03:38.71,1502
00:03:38.72,1662
00:03:38.77,1678
00:03:38.97,1735
00:03:39.02,1604
00:03:39.16,1501
00:03:39.23,1704
00:03:39.28,1683
00:03:39.39,1501
00:03:39.40,1501
00:03:39.42,1501
00:03:39.43,1501
00:03:39.47,1502
00:03:39.48,1706
00:03:39.53,1646
00:03:39.65,1502
00:03:39.73,1501
00:03:39.74,1715
00:03:39.77,1502
00:03:39.78,1502
00:03:39.78,1641
00:03:39.93,1501
00:03:39.95,1502
00:03:39.95,1502
00:03:39.99,1753
00:03:40.04,254
00:03:40.17,1501
00:03:40.21,1501
00:03:40.24,1741
00:03:40.29,1747
00:03:40.39,1501
00:03:40.42,1501
00:03:40.49,1746
00:03:40.54,1699
00:03:40.70,1502
00:03:40.71,1501
00:03:40.72,1501
00:03:40.74,1501
00:03:40.75,1662
00:03:40.80,1653
00:03:40.93,1502
00:03:40.96,1501
00:03:41.00,1736
00:03:41.05,1657
00:03:41.21,1501
00:03:41.24,1501
00:03:41.24,1501
00:03:41.25,1502
00:03:41.26,1676
00:03:41.30,1669
00:03:41.35,1501
00:03:41.51,1689
00:03:41.56,1727
00:03:41.61,1502
00:03:41.61,1501
00:03:41.65,1502
00:03:41.74,1501
00:03:41.74,1502
00:03:41.74,1501
00:03:41.75,1502
00:03:41.76,1744
00:03:41.81,1501
00:03:41.81,1751
00:03:41.92,1501
00:03:42.02,1725
00:03:42.07,1662
00:03:42.27,1589
00:03:42.32,1596
00:03:42.46,1502
00:03:42.47,1502
00:03:42.50,1501
00:03:42.52,1712
00:03:42.57,1684
00:03:42.67,1502
00:03:42.70,1502
00:03:42.77,1716
00:03:42.83,1718
00:03:42.96,1501
00:03:43.03,1703
00:03:43.08,1702
00:03:43.10,1501
00:03:43.13,1501
00:03:43.15,1502
00:03:43.21,1502
00:03:43.22,1501
00:03:43.23,1501
00:03:43.25,1502
00:03:43.27,1501
00:03:43.28,1705
00:03:43.33,1744
00:03:43.44,1501
00:03:43.50,1502
00:03:43.52,1501
00:03:43.53,1679
00:03:43.56,1501
00:03:43.59,1729
00:03:43.77,1502
00:03:43.79,1723
00:03:43.84,1694
00:03:43.92,1501
00:03:44.04,1713
00:03:44.09,1740
00:03:44.14,1501
00:03:44.17,1502
00:03:44.18,1502
00:03:44.25,1502
00:03:44.29,1718
00:03:44.35,1732
00:03:44.52,1501
00:03:44.55,1650
00:03:44.58,1501
00:03:44.60,1622
00:03:44.68,1501
00:03:44.72,1501
00:03:44.75,1502
00:03:44.77,1501
00:03:44.81,1752
00:03:44.85,1678
00:03:44.88,1502
00:03:44.97,1501
00:03:44.97,1502
00:03:44.98,1501
00:03:45.02,1502
00:03:45.06,1745
00:03:45.10,1502
00:03:45.11,1752
00:03:45.20,1502
00:03:45.24,1501
00:03:45.31,1723
00:03:45.36,1725
00:03:45.41,1501
00:03:45.47,1501
00:03:45.50,1502
00:03:45.51,1501
00:03:45.54,1501
00:03:45.57,1682
00:03:45.61,1705
00:03:45.74,1501
00:03:45.78,1501
00:03:45.81,1501
00:03:45.82,1502
00:03:45.82,1669
00:03:45.87,1670
00:03:46.00,1501
00:03:46.07,1752
00:03:46.12,1701
00:03:46.16,1502
00:03:46.20,1501
00:03:46.31,1501
00:03:46.33,1741
00:03:46.39,1768
00:03:46.58,1645
00:03:46.61,1502
00:03:46.63,1501
00:03:46.64,1552
00:03:46.71,1501
00:03:46.73,1502
00:03:46.83,1502
00:03:46.83,1735
00:03:46.89,1721
00:03:46.94,1501
00:03:47.06,1502
00:03:47.07,1501
00:03:47.08,1502
00:03:47.09,1710
00:03:47.13,1502
00:03:47.15,1720
00:03:47.25,1501
00:03:47.34,1717
00:03:47.40,1654
00:03:47.44,1502
00:03:47.47,1501
00:03:47.47,1501
00:03:47.59,1716
00:03:47.65,1722
00:03:47.72,1502
00:03:47.75,1502
00:03:47.81,1501
00:03:47.85,1711
00:03:47.89,1501
00:03:47.90,1737
00:03:47.92,1501
00:03:47.95,1501
00:03:47.96,1501
00:03:48.03,1501
00:03:48.08,1502
00:03:48.10,1501
00:03:48.10,1709
00:03:48.16,1740
00:03:48.35,1749
00:03:48.40,1501
00:03:48.41,1610
00:03:48.59,1502
00:03:48.59,1501
00:03:48.61,1713
00:03:48.65,1501
00:03:48.66,1633
00:03:48.71,1501
00:03:48.86,1741
00:03:48.92,1741
00:03:49.00,1501
00:03:49.02,1501
00:03:49.03,1501
00:03:49.07,1502
00:03:49.11,1663
00:03:49.17,1699
00:03:49.37,1742
00:03:49.40,1501
00:03:49.42,1502
00:03:49.42,1705
00:03:49.53,1502
00:03:49.62,1729
00:03:49.65,1501
00:03:49.67,1677
00:03:49.75,1502
00:03:49.83,1501
00:03:49.84,1501
00:03:49.87,1502
00:03:49.87,1739
00:03:49.93,1700
00:03:49.94,1501
00:03:50.13,1726
00:03:50.17,1502
00:03:50.18,1501
00:03:50.18,1755
00:03:50.25,1502
00:03:50.33,1502
00:03:50.38,1501
00:03:50.38,1734
00:03:50.43,1501
00:03:50.44,1741
00:03:50.54,1502
00:03:50.58,1502
00:03:50.59,1501
00:03:50.64,1751
00:03:50.70,1707
00:03:50.84,1502
00:03:50.88,1502
00:03:50.89,1675
00:03:50.90,1502
00:03:50.95,1622
00:03:51.06,1502
00:03:51.06,1502
00:03:51.10,1501
00:03:51.14,1744
00:03:51.20,1702
00:03:51.33,1502
00:03:51.40,1750
00:03:51.46,1740
00:03:51.58,1501
00:03:51.60,1501
00:03:51.65,1706
00:03:51.71,1718
00:03:51.83,1501
00:03:51.88,1502
00:03:51.90,1502
00:03:51.90,1747
00:03:51.96,1633
00:03:51.97,1501
00:03:51.99,1501
00:03:52.00,1502
00:03:52.09,1501
00:03:52.13,1501
00:03:52.16,1692
00:03:52.21,1749
00:03:52.30,1501
00:03:52.31,1501
00:03:52.40,1501
00:03:52.41,1675
00:03:52.47,1697
00:03:52.49,1501
00:03:52.55,1501
00:03:52.66,1696
00:03:52.72,1736
00:03:52.92,1683
00:03:52.97,1577
00:03:53.17,1692
00:03:53.18,1501
00:03:53.23,1683
00:03:53.36,1501
00:03:53.42,1743
00:03:53.43,1501
00:03:53.48,1692
00:03:53.59,1501
00:03:53.66,1501
00:03:53.68,1751
00:03:53.69,1502
00:03:53.73,1501
00:03:53.74,1701
00:03:53.81,1501
00:03:53.81,1501
00:03:53.91,1501
00:03:53.91,1501
00:03:53.93,1755
00:03:53.99,1753
00:03:54.04,1502
00:03:54.07,1501
00:03:54.10,1501
00:03:54.13,1502
00:03:54.15,1501
00:03:54.18,1676
00:03:54.24,1722
00:03:54.27,1501
00:03:54.28,1501
00:03:54.44,1681
00:03:54.50,1738
00:03:54.59,1501
00:03:54.69,1744
00:03:54.75,1711
00:03:54.83,1501
00:03:54.88,1501
00:03:54.91,1501
00:03:54.93,1501
00:03:54.94,1653
00:03:55.00,1685
00:03:55.13,1501
00:03:55.14,1502
00:03:55.17,1501
00:03:55.18,1502
00:03:55.20,1751
00:03:55.26,1648
00:03:55.37,1502
00:03:55.40,1501
00:03:55.45,1684
00:03:55.51,1677
00:03:55.56,1501
00:03:55.56,1501
00:03:55.60,1501
00:03:55.66,1501
00:03:55.69,1501
00:03:55.70,1502
00:03:55.70,1684
00:03:55.76,1734
00:03:55.80,1502
00:03:55.96,1669
00:03:56.02,1727
00:03:56.21,1605
00:03:56.27,1651
00:03:56.33,1501
00:03:56.37,1501
00:03:56.39,1501
00:03:56.46,1750
00:03:56.52,1501
00:03:56.53,1705
00:03:56.69,1502
00:03:56.72,1741
00:03:56.77,1501
00:03:56.78,1714
00:03:56.86,1501
00:03:56.92,1502
00:03:56.92,1501
00:03:56.97,1717
00:03:57.03,1687
00:03:57.08,1509
00:03:57.14,1501
00:03:57.15,1501
00:03:57.16,1502
00:03:57.17,1502
00:03:57.22,1718
00:03:57.29,1501
00:03:57.29,1732
00:03:57.31,1501
00:03:57.34,1501
00:03:57.36,1501
00:03:57.48,1741
00:03:57.54,1745
